mes_iso,valor_brl
2004-08,18.37
2004-09,19.05
2004-10,18.27
2004-11,17.70
2004-12,17.14
2005-01,17.82
2005-02,17.47
2005-03,20.06
2005-04,19.35
2005-05,19.02
2005-06,19.55
2005-07,19.26
2005-08,18.64
2005-09,18.36
2005-10,17.78
2005-11,16.50
2005-12,16.74
2006-01,17.55
2006-02,16.52
2006-03,14.62
2006-04,14.44
2006-05,15.25
2006-06,16.47
2006-07,16.69
2006-08,16.86
2006-09,17.94
2006-10,21.09
2006-11,22.93
2006-12,24.96
2007-01,25.02
2007-02,22.02
2007-03,20.20
2007-04,19.21
2007-05,18.93
2007-06,19.58
2007-07,18.97
2007-08,22.13
2007-09,26.95
2007-10,27.36
2007-11,31.72
2007-12,33.80
2008-01,30.93
2008-02,27.79
2008-03,27.19
2008-04,26.62
2008-05,27.43
2008-06,26.88
2008-07,27.76
2008-08,24.56
2008-09,23.78
2008-10,22.32
2008-11,20.51
2008-12,20.75
2009-01,23.67
2009-02,22.26
2009-03,20.62
2009-04,21.29
2009-05,22.25
2009-06,22.24
2009-07,20.55
2009-08,19.42
2009-09,19.12
2009-10,20.60
2009-11,20.41
2009-12,20.02
2010-01,19.66
2010-02,18.35
2010-03,18.47
2010-04,18.16
2010-05,18.67
2010-06,19.43
2010-07,18.84
2010-08,20.56
2010-09,24.36
2010-10,25.15
2010-11,28.29
2010-12,28.36
2011-01,30.35
2011-02,31.68
2011-03,31.44
2011-04,29.94
2011-05,28.69
2011-06,30.75
2011-07,30.31
2011-08,30.20
2011-09,31.92
2011-10,30.75
2011-11,29.81
2011-12,28.18
2012-01,31.08
2012-02,28.40
2012-03,28.89
2012-04,25.83
2012-05,24.91
2012-06,24.13
2012-07,29.01
2012-08,33.25
2012-09,32.23
2012-10,31.35
2012-11,34.09
2012-12,34.96
2013-01,32.75
2013-02,32.34
2013-03,30.71
2013-04,26.41
2013-05,26.02
2013-06,26.45
2013-07,25.00
2013-08,24.04
2013-09,25.07
2013-10,24.12
2013-11,25.59
2013-12,26.45
2014-01,26.83
2014-02,30.62
2014-03,32.84
2014-04,31.18
2014-05,28.75
2014-06,26.38
2014-07,23.66
2014-08,22.91
2014-09,22.02
2014-10,23.62
2014-11,27.66
2014-12,27.67
2015-01,27.41
2015-02,27.99
2015-03,29.43
2015-04,27.61
2015-05,25.34
2015-06,25.03
2015-07,25.99
2015-08,27.40
2015-09,31.04
2015-10,32.83
2015-11,33.57
2015-12,35.33
2016-01,41.65
2016-02,42.98
2016-03,47.79
2016-04,48.92
2016-05,51.48
2016-06,49.12
2016-07,44.42
2016-08,45.43
2016-09,41.91
2016-10,42.12
2016-11,38.77
2016-12,38.29
2017-01,35.92
2017-02,36.21
2017-03,33.77
2017-04,28.32
2017-05,27.76
2017-06,26.75
2017-07,26.33
2017-08,26.67
2017-09,29.11
2017-10,31.26
2017-11,31.75
2017-12,32.38
2018-01,32.70
2018-02,34.76
2018-03,41.37
2018-04,39.92
2018-05,42.69
2018-06,40.55
2018-07,37.22
2018-08,41.17
2018-09,40.31
2018-10,36.43
2018-11,36.56
2018-12,37.83
2019-01,38.91
2019-02,40.89
2019-03,39.82
2019-04,36.42
2019-05,34.84
2019-06,38.04
2019-07,37.10
2019-08,36.41
2019-09,37.64
2019-10,41.51
2019-11,44.54
2019-12,48.16
2020-01,51.07
2020-02,51.69
2020-03,57.41
2020-04,52.92
2020-05,50.12
2020-06,47.76
2020-07,49.70
2020-08,56.62
2020-09,60.06
2020-10,72.71
2020-11,80.31
2020-12,75.33
2021-01,83.65
2021-02,83.89
2021-03,91.51
2021-04,97.15
2021-05,100.72
2021-06,92.09
2021-07,97.48
2021-08,98.64
2021-09,92.44
2021-10,89.92
2021-11,84.19
2021-12,88.03
2022-01,96.04
2022-02,96.85
2022-03,99.69
2022-04,88.78
2022-05,87.36
2022-06,85.64
2022-07,81.98
2022-08,82.52
2022-09,84.06
2022-10,84.53
2022-11,84.99
2022-12,86.01
2023-01,86.11
2023-02,85.74
2023-03,84.88
2023-04,74.85
2023-05,58.16
2023-06,55.04
2023-07,54.98
2023-08,53.34
2023-09,54.62
2023-10,59.13
2023-11,60.65
2023-12,66.77
2024-01,65.83
2024-02,62.58
2024-03,62.72
2024-04,59.63
2024-05,58.92
2024-06,57.86
2024-07,57.22
2024-08,59.58
2024-09,62.60
2024-10,68.79
2024-11,73.68
2024-12,72.92
2025-01,74.17
2025-02,80.76
2025-03,89.12
2025-04,83.67
2025-05,73.30
2025-06,68.15
2025-07,63.63
2025-08,63.87
2025-09,64.77
2025-10,65.35
2025-11,67.54
2025-12,69.61
2026-01,67.84
2026-02,67.86
2026-03,70.90
2026-04,67.95
2026-05,65.60
2026-06,64.57
